MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20150428,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-04-28,2015-05-04,1
20150421,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-04-21,2015-04-27,1
20150414,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-04-14,2015-04-20,1
20150407,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-04-07,2015-04-13,1
20150331,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-03-31,2015-04-06,1
20150324,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-03-24,2015-03-30,1
20150317,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-03-17,2015-03-23,1
20150310,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-03-10,2015-03-16,1
20150303,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-03-03,2015-03-09,1
20150224,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-02-24,2015-03-02,1
20150217,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-02-17,2015-02-23,1
20150210,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-02-10,2015-02-16,1
20150203,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-02-03,2015-02-09,1
20150127,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-01-27,2015-02-02,1
20150120,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-01-20,2015-01-26,1
20150113,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-01-13,2015-01-19,1
20150106,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-01-06,2015-01-12,1
20141230,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2014-12-30,2015-01-05,1
20141223,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2014-12-23,2014-12-29,1
20141216,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2014-12-16,2014-12-22,1
20141209,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-12-09,2014-12-15,1
20141202,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-12-02,2014-12-08,1
20141125,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-11-25,2014-12-01,1
20141118,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-11-18,2014-11-24,1
20141111,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-11-11,2014-11-17,1
20141104,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-11-04,2014-11-10,1
20141028,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-10-28,2014-11-03,1
20141021,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-10-21,2014-10-27,1
20141014,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-10-14,2014-10-20,1
20141007,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-10-07,2014-10-13,1
20140930,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-09-30,2014-10-06,1
20140923,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-09-23,2014-09-29,1
20140916,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-09-16,2014-09-22,1
20140909,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-09-09,2014-09-15,1
20140902,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-09-02,2014-09-08,1
20140826,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-08-26,2014-09-01,1
20140819,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-08-19,2014-08-25,1
20140812,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-08-12,2014-08-18,1
20140805,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-08-05,2014-08-11,1
20140729,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-07-29,2014-08-04,1
20140722,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-07-22,2014-07-28,1
20140715,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-07-15,2014-07-21,1
20140708,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-07-08,2014-07-14,1
20140701,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-07-01,2014-07-07,1
20140624,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-06-24,2014-06-30,1
20140617,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2014-06-17,2014-06-23,1
20140610,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,96.09,2014-06-10,2014-06-16,1
20140603,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,96.09,2014-06-03,2014-06-09,1
20140527,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,96.09,2014-05-27,2014-06-02,1
20140520,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,96.09,2014-05-20,2014-05-26,1
20140513,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,96.09,2014-05-13,2014-05-19,1
20140506,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,96.09,2014-05-06,2014-05-12,1
20140429,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,96.09,2014-04-29,2014-05-05,1
20150428,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-04-28,2015-05-04,1
20150421,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-04-21,2015-04-27,1
20150414,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-04-14,2015-04-20,1
20150407,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-04-07,2015-04-13,1
20150331,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-03-31,2015-04-06,1
20150324,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-03-24,2015-03-30,1
20150317,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-03-17,2015-03-23,1
20150310,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-03-10,2015-03-16,1
20150303,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-03-03,2015-03-09,1
20150224,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-02-24,2015-03-02,1
20150217,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-02-17,2015-02-23,1
20150210,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-02-10,2015-02-16,1
20150203,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-02-03,2015-02-09,1
20150127,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-01-27,2015-02-02,1
20150120,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-01-20,2015-01-26,1
20150113,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-01-13,2015-01-19,1
20150106,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2015-01-06,2015-01-12,1
20141230,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-12-30,2015-01-05,1
20141223,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-12-23,2014-12-29,1
20141216,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-12-16,2014-12-22,1
20141209,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-12-09,2014-12-15,1
20141202,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-12-02,2014-12-08,1
20141125,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-11-25,2014-12-01,1
20141118,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-11-18,2014-11-24,1
20141111,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-11-11,2014-11-17,1
20141104,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-11-04,2014-11-10,1
20141028,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-10-28,2014-11-03,1
20141021,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-10-21,2014-10-27,1
20141014,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-10-14,2014-10-20,1
20141007,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-10-07,2014-10-13,1
20140930,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-09-30,2014-10-06,1
20140923,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-09-23,2014-09-29,1
20140916,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-09-16,2014-09-22,1
20140909,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-09-09,2014-09-15,1
20140902,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-09-02,2014-09-08,1
20140826,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-08-26,2014-09-01,1
20140819,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-08-19,2014-08-25,1
20140812,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-08-12,2014-08-18,1
20140805,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-08-05,2014-08-11,1
20140729,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-07-29,2014-08-04,1
20140722,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-07-22,2014-07-28,1
20140715,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-07-15,2014-07-21,1
20140708,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-07-08,2014-07-14,1
20140701,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-07-01,2014-07-07,1
20140624,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-06-24,2014-06-30,1
