MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20091229,06001,Alameda County,CA,0.00,100.00,34.12,0.00,0.00,0.00,2009-12-29,2010-01-04,1
20091222,06001,Alameda County,CA,0.00,100.00,34.12,0.00,0.00,0.00,2009-12-22,2009-12-28,1
20091215,06001,Alameda County,CA,0.00,100.00,34.12,0.00,0.00,0.00,2009-12-15,2009-12-21,1
20091208,06001,Alameda County,CA,0.00,100.00,34.12,0.00,0.00,0.00,2009-12-08,2009-12-14,1
20091201,06001,Alameda County,CA,0.00,100.00,34.12,0.00,0.00,0.00,2009-12-01,2009-12-07,1
20091124,06001,Alameda County,CA,0.00,100.00,34.12,0.00,0.00,0.00,2009-11-24,2009-11-30,1
20091117,06001,Alameda County,CA,0.00,100.00,34.12,0.00,0.00,0.00,2009-11-17,2009-11-23,1
20091110,06001,Alameda County,CA,0.00,100.00,34.12,0.00,0.00,0.00,2009-11-10,2009-11-16,1
20091103,06001,Alameda County,CA,0.00,100.00,32.02,0.00,0.00,0.00,2009-11-03,2009-11-09,1
20091027,06001,Alameda County,CA,0.00,100.00,32.02,0.00,0.00,0.00,2009-10-27,2009-11-02,1
20091020,06001,Alameda County,CA,0.00,100.00,32.02,0.00,0.00,0.00,2009-10-20,2009-10-26,1
20091013,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-10-13,2009-10-19,1
20091006,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-10-06,2009-10-12,1
20090929,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-09-29,2009-10-05,1
20090922,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-09-22,2009-09-28,1
20090915,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-09-15,2009-09-21,1
20090908,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-09-08,2009-09-14,1
20090901,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-09-01,2009-09-07,1
20090825,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-08-25,2009-08-31,1
20090818,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-08-18,2009-08-24,1
20090811,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-08-11,2009-08-17,1
20090804,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-08-04,2009-08-10,1
20090728,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-07-28,2009-08-03,1
20090721,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-07-21,2009-07-27,1
20090714,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-07-14,2009-07-20,1
20090707,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-07-07,2009-07-13,1
20090630,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-06-30,2009-07-06,1
20090623,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-06-23,2009-06-29,1
20090616,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-06-16,2009-06-22,1
20090609,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-06-09,2009-06-15,1
20090602,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-06-02,2009-06-08,1
20090526,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-05-26,2009-06-01,1
20090519,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-05-19,2009-05-25,1
20090512,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-05-12,2009-05-18,1
20090505,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-05-05,2009-05-11,1
20090428,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-04-28,2009-05-04,1
20090421,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-04-21,2009-04-27,1
20090414,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-04-14,2009-04-20,1
20090407,06001,Alameda County,CA,0.00,100.00,100.00,37.68,0.00,0.00,2009-04-07,2009-04-13,1
20090331,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-31,2009-04-06,1
20090324,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-24,2009-03-30,1
20090317,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-17,2009-03-23,1
20090310,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-10,2009-03-16,1
20090303,06001,Alameda County,CA,0.00,100.00,100.00,97.89,0.00,0.00,2009-03-03,2009-03-09,1
20090224,06001,Alameda County,CA,0.00,100.00,100.00,97.89,0.00,0.00,2009-02-24,2009-03-02,1
20090217,06001,Alameda County,CA,0.00,100.00,100.00,97.89,0.00,0.00,2009-02-17,2009-02-23,1
20090210,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2009-02-10,2009-02-16,1
20090203,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2009-02-03,2009-02-09,1
20090127,06001,Alameda County,CA,0.00,100.00,100.00,51.90,0.00,0.00,2009-01-27,2009-02-02,1
20090120,06001,Alameda County,CA,0.00,100.00,100.00,51.90,0.00,0.00,2009-01-20,2009-01-26,1
20090113,06001,Alameda County,CA,0.00,100.00,100.00,51.88,0.00,0.00,2009-01-13,2009-01-19,1
20090106,06001,Alameda County,CA,0.00,100.00,100.00,51.88,0.00,0.00,2009-01-06,2009-01-12,1
20081230,06001,Alameda County,CA,0.00,100.00,100.00,51.88,0.00,0.00,2008-12-30,2009-01-05,1
20091229,06003,Alpine County,CA,0.00,100.00,4.74,0.00,0.00,0.00,2009-12-29,2010-01-04,1
20091222,06003,Alpine County,CA,0.00,100.00,4.74,0.00,0.00,0.00,2009-12-22,2009-12-28,1
20091215,06003,Alpine County,CA,0.00,100.00,4.74,0.00,0.00,0.00,2009-12-15,2009-12-21,1
20091208,06003,Alpine County,CA,0.00,100.00,4.74,0.00,0.00,0.00,2009-12-08,2009-12-14,1
20091201,06003,Alpine County,CA,0.00,100.00,4.74,0.00,0.00,0.00,2009-12-01,2009-12-07,1
20091124,06003,Alpine County,CA,0.39,99.61,0.00,0.00,0.00,0.00,2009-11-24,2009-11-30,1
20091117,06003,Alpine County,CA,0.39,99.61,0.00,0.00,0.00,0.00,2009-11-17,2009-11-23,1
20091110,06003,Alpine County,CA,0.39,99.61,0.00,0.00,0.00,0.00,2009-11-10,2009-11-16,1
20091103,06003,Alpine County,CA,0.39,99.61,0.00,0.00,0.00,0.00,2009-11-03,2009-11-09,1
20091027,06003,Alpine County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2009-10-27,2009-11-02,1
20091020,06003,Alpine County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2009-10-20,2009-10-26,1
20091013,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-10-13,2009-10-19,1
20091006,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-10-06,2009-10-12,1
20090929,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-09-29,2009-10-05,1
20090922,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-09-22,2009-09-28,1
20090915,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-09-15,2009-09-21,1
20090908,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-09-08,2009-09-14,1
20090901,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-09-01,2009-09-07,1
20090825,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-08-25,2009-08-31,1
20090818,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-08-18,2009-08-24,1
20090811,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-08-11,2009-08-17,1
20090804,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-08-04,2009-08-10,1
20090728,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-07-28,2009-08-03,1
20090721,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-07-21,2009-07-27,1
20090714,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-07-14,2009-07-20,1
20090707,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-07-07,2009-07-13,1
20090630,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-06-30,2009-07-06,1
20090623,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-06-23,2009-06-29,1
20090616,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-06-16,2009-06-22,1
20090609,06003,Alpine County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-06-09,2009-06-15,1
20090602,06003,Alpine County,CA,0.00,100.00,0.66,0.00,0.00,0.00,2009-06-02,2009-06-08,1
20090526,06003,Alpine County,CA,0.00,100.00,0.82,0.00,0.00,0.00,2009-05-26,2009-06-01,1
20090519,06003,Alpine County,CA,0.00,100.00,0.82,0.00,0.00,0.00,2009-05-19,2009-05-25,1
20090512,06003,Alpine County,CA,0.00,100.00,0.82,0.00,0.00,0.00,2009-05-12,2009-05-18,1
20090505,06003,Alpine County,CA,0.00,100.00,0.82,0.00,0.00,0.00,2009-05-05,2009-05-11,1
20090428,06003,Alpine County,CA,0.00,100.00,2.51,0.00,0.00,0.00,2009-04-28,2009-05-04,1
20090421,06003,Alpine County,CA,0.00,100.00,2.51,0.00,0.00,0.00,2009-04-21,2009-04-27,1
20090414,06003,Alpine County,CA,0.00,100.00,2.51,0.00,0.00,0.00,2009-04-14,2009-04-20,1
20090407,06003,Alpine County,CA,0.00,100.00,2.51,0.00,0.00,0.00,2009-04-07,2009-04-13,1
20090331,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-31,2009-04-06,1
20090324,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-24,2009-03-30,1
20090317,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-17,2009-03-23,1
20090310,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-10,2009-03-16,1
20090303,06003,Alpine County,CA,0.00,100.00,100.00,48.62,0.00,0.00,2009-03-03,2009-03-09,1
20090224,06003,Alpine County,CA,0.00,100.00,100.00,49.29,0.00,0.00,2009-02-24,2009-03-02,1
20090217,06003,Alpine County,CA,0.00,100.00,100.00,49.29,0.00,0.00,2009-02-17,2009-02-23,1
20090210,06003,Alpine County,CA,0.00,100.00,100.00,49.29,0.00,0.00,2009-02-10,2009-02-16,1
20090203,06003,Alpine County,CA,0.00,100.00,100.00,49.29,0.00,0.00,2009-02-03,2009-02-09,1
20090127,06003,Alpine County,CA,0.00,100.00,100.00,13.73,0.00,0.00,2009-01-27,2009-02-02,1
20090120,06003,Alpine County,CA,0.00,100.00,100.00,13.73,0.00,0.00,2009-01-20,2009-01-26,1
20090113,06003,Alpine County,CA,0.00,100.00,100.00,13.73,0.00,0.00,2009-01-13,2009-01-19,1
20090106,06003,Alpine County,CA,0.00,100.00,100.00,13.73,0.00,0.00,2009-01-06,2009-01-12,1
20081230,06003,Alpine County,CA,0.00,100.00,100.00,13.73,0.00,0.00,2008-12-30,2009-01-05,1
20091229,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-12-29,2010-01-04,1
20091222,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-12-22,2009-12-28,1
20091215,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-12-15,2009-12-21,1
20091208,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-12-08,2009-12-14,1
20091201,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-12-01,2009-12-07,1
20091124,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-11-24,2009-11-30,1
20091117,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-11-17,2009-11-23,1
20091110,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-11-10,2009-11-16,1
20091103,06005,Amador County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2009-11-03,2009-11-09,1
20091027,06005,Amador County,CA,42.15,57.85,0.00,0.00,0.00,0.00,2009-10-27,2009-11-02,1
20091020,06005,Amador County,CA,66.03,33.97,0.00,0.00,0.00,0.00,2009-10-20,2009-10-26,1
20091013,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-10-13,2009-10-19,1
20091006,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-10-06,2009-10-12,1
20090929,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-09-29,2009-10-05,1
20090922,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-09-22,2009-09-28,1
20090915,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-09-15,2009-09-21,1
20090908,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-09-08,2009-09-14,1
20090901,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-09-01,2009-09-07,1
20090825,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-08-25,2009-08-31,1
20090818,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-08-18,2009-08-24,1
20090811,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-08-11,2009-08-17,1
20090804,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-08-04,2009-08-10,1
20090728,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-07-28,2009-08-03,1
20090721,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-07-21,2009-07-27,1
20090714,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-07-14,2009-07-20,1
20090707,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-07-07,2009-07-13,1
20090630,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-06-30,2009-07-06,1
20090623,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-06-23,2009-06-29,1
20090616,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-06-16,2009-06-22,1
20090609,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-06-09,2009-06-15,1
20090602,06005,Amador County,CA,0.00,100.00,70.27,16.57,0.00,0.00,2009-06-02,2009-06-08,1
20090526,06005,Amador County,CA,0.00,100.00,69.59,16.57,0.00,0.00,2009-05-26,2009-06-01,1
20090519,06005,Amador County,CA,0.00,100.00,69.59,16.57,0.00,0.00,2009-05-19,2009-05-25,1
20090512,06005,Amador County,CA,0.00,100.00,69.59,16.57,0.00,0.00,2009-05-12,2009-05-18,1
20090505,06005,Amador County,CA,0.00,100.00,69.59,16.57,0.00,0.00,2009-05-05,2009-05-11,1
20090428,06005,Amador County,CA,0.00,100.00,69.59,16.57,0.00,0.00,2009-04-28,2009-05-04,1
20090421,06005,Amador County,CA,0.00,100.00,69.59,16.57,0.00,0.00,2009-04-21,2009-04-27,1
20090414,06005,Amador County,CA,0.00,100.00,69.59,16.57,0.00,0.00,2009-04-14,2009-04-20,1
20090407,06005,Amador County,CA,0.00,100.00,69.59,16.57,0.00,0.00,2009-04-07,2009-04-13,1
20090331,06005,Amador County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-31,2009-04-06,1
20090324,06005,Amador County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-24,2009-03-30,1
20090317,06005,Amador County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-17,2009-03-23,1
20090310,06005,Amador County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2009-03-10,2009-03-16,1
20090303,06005,Amador County,CA,0.00,100.00,100.00,92.25,0.00,0.00,2009-03-03,2009-03-09,1
20090224,06005,Amador County,CA,0.00,100.00,100.00,98.04,0.00,0.00,2009-02-24,2009-03-02,1
20090217,06005,Amador County,CA,0.00,100.00,100.00,98.04,0.00,0.00,2009-02-17,2009-02-23,1
20090210,06005,Amador County,CA,0.00,100.00,100.00,98.04,0.00,0.00,2009-02-10,2009-02-16,1
20090203,06005,Amador County,CA,0.00,100.00,100.00,98.04,0.00,0.00,2009-02-03,2009-02-09,1
20090127,06005,Amador County,CA,0.00,100.00,100.00,98.04,0.00,0.00,2009-01-27,2009-02-02,1
20090120,06005,Amador County,CA,0.00,100.00,100.00,98.04,0.00,0.00,2009-01-20,2009-01-26,1
20090113,06005,Amador County,CA,0.00,100.00,100.00,98.04,0.00,0.00,2009-01-13,2009-01-19,1
20090106,06005,Amador County,CA,0.00,100.00,100.00,98.04,0.00,0.00,2009-01-06,2009-01-12,1
